2	0.68394	0.0819767
4	0.637963	0.00924213
8	0.633195	0.00170009
16	0.632355	0.000370369
32	0.632175	8.66409e-05
64	0.632134	2.10129e-05
128	0.632124	5.45453e-06
256	0.632121	9.28457e-07
512	0.632121	6.45577e-07
1024	0.63212	5.80234e-07
2048	0.632121	4.56991e-07
4096	0.632121	2.68405e-07
8192	0.63212	8.63113e-07
16384	0.632121	7.98185e-08
32768	0.632121	1.74112e-07
65536	0.63212	2.97354e-07
131072	0.632119	2.56039e-06
262144	0.63218	9.46559e-05
524288	0.632154	5.36383e-05
1048576	0.632052	0.000109017
2097152	0.631644	0.000753511
4194304	0.648168	0.0253874
8388608	0.651602	0.030819
16777216	0.5	0.209012
33554432	0.5	0.209012
