2	0.632334	0.000337178
4	0.632134	2.15787e-05
8	0.632121	1.39992e-06
16	0.632121	7.98185e-08
32	0.632121	7.98185e-08
64	0.632121	1.44747e-08
128	0.632121	7.98185e-08
256	0.632121	2.68405e-07
512	0.63212	2.97354e-07
1024	0.63212	2.03061e-07
2048	0.63212	6.74527e-07
4096	0.632121	1.21134e-06
8192	0.63212	4.8594e-07
16384	0.632121	7.98185e-08
32768	0.632121	1.74112e-07
65536	0.632121	4.56991e-07
131072	0.63212	2.03061e-07
262144	0.632119	2.3718e-06
524288	0.63218	9.45616e-05
1048576	0.632155	5.40155e-05
